stockRef,shape,color,clarity,lab,certiNo,treatment,weight,pricePerCts,discPerc,country,measurements,depthPerc,tablePerc,crownAngle,crownHeight,pavalionAngle,pavalionDepth,girdle,girdleThin,girdlePerc,girdleCondition,culetSize,culetCondition,polish,symmetry,fluorescenceIntensity,fluorescenceColor,fancyColor,fancyIntensity,fancyOvertone,pairStockRef,isMatchedPairSeparable,cutGrade,length,width,height,videoLink,certComment,keyToSymbols,certIssueDate,starLength,webLink,laserInscription,shade,Rap Price,lowerHalf,memberComment,blackcrown,blacktable,eyeclean,whitecrown,whitetable,handa,availability,cashDiscPrice,milky,enhancements,city,origin,cashDiscPerc,blackinclusion,identificationMarks,state,forTradeShow,CertiWebLink,LastCustomer,StoneLocation,CostPerCts,NotForWeb,T2A,Ratio,DeptCode,Stock Status
ADI-6-27,CMB,F L Y,VS2,GIA,6492175598,,2.62000,3200.00000,0.00000,INDIA,7.66x7.36x4.95,67.30,59.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Faceted,None,None,EX,Very Good,NONE,,Yellow,Fancy Light,,,,,7.66,7.36,4.95,,Pinpoints are not shown.,"Crystal, Feather, Needle, Indented Natural, Cloud, Natural",23/05/2024 12:00:00 AM,0.00,,True,None,0.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6492175598,,INDIA,1952.14885,False,,1.041,,A
C-21-5A,RD,K,VS2,IGI,632412850,,3.03000,4070.00000,-63.00000,INDIA,9.20-9.27x5.73,61.90,61.00,,13.50,,44.50,MED to THK,Medium,0.00,Faceted,POINTED,,EX,EX,NONE,,,,,,,EX,9.27,9.20,5.73,,,,21/05/2024 12:00:00 AM,,,True,None,11000.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.igi.org/verify.php?r=632412850,,INDIA,0.00000,False,,1.008,,M
ADI-9-50B,RD,E,VS2,GIA,3495960523,,0.70000,1760.00000,-45.00000,INDIA,5.70-5.72x3.52,61.60,57.00,33.00,14.00,41.40,44.00,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,NONE,,,,,,,EX,5.72,5.70,3.52,,"Crystal, Feather","Crystal, Feather",19/07/2024 12:00:00 AM,50.00,,True,None,3200.00000,75.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=3495960523,,INDIA,14146.01429,False,,1.004,,A
ADI-17-94A,RAD,D,VVS1,GIA,2506202404,,1.51000,6864.00000,-48.00000,INDIA,7.37x5.85x4.07,69.60,69.00,0.00,0.00,0.00,0.00,Slightly Thick,,0.00,Polished,None,None,EX,EX,NONE,,,,,,,,7.37,5.85,4.07,,,Pinpoint,16/08/2024 12:00:00 AM,0.00,,True,None,13200.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2506202404,,INDIA,6100.07285,False,,1.260,,A
DIN-64-878A,EM,D,SI2,GIA,5393136602,,1.02000,1833.00000,-53.00000,INDIA,6.98x4.99x3.02,60.40,67.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,,None,None,EX,EX,NONE,,,,,,,-,6.98,4.99,3.02,,,"Crystal, Pinpoint",23/06/2021 12:00:00 AM,0.00,,True,None,3900.00000,0.00,,,,No,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=5393136602,,INDIA,1680.00000,False,,1.399,,A
VISA266B,EM,N,VS1,GIA,7496340669,,1.00000,950.00000,0.00000,INDIA,7.17x4.80x2.80,58.40,63.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Polished,None,None,EX,Very Good,FAINT,,,,,,,,7.17,4.80,2.80,,Surface graining is not shown.,Feather,15/05/2024 12:00:00 AM,0.00,,True,None,0.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7496340669,,INDIA,0.00000,False,,1.494,,A
HTJSA4-3-1A,MQ,E,IF,GIA,2497078632,,1.00000,4920.00000,-40.00000,INDIA,10.89x5.21x3.12,59.80,60.00,0.00,0.00,0.00,0.00,MED to VTK,Medium,0.00,Faceted,None,None,EX,EX,NONE,,,,,,,-,10.89,5.21,3.12,,Minor details of polish are not shown.,,17/04/2024 12:00:00 AM,0.00,,True,None,8200.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2497078632,,INDIA,0.00000,False,,2.090,,A
HTJSA04-10A,CMB,G,SI1,GIA,6492066442,,2.01000,4494.00000,-58.00000,INDIA,7.15x7.05x4.81,68.20,64.00,0.00,0.00,0.00,0.00,Thin to Slightly Thick,Thin,0.00,Faceted,None,None,EX,EX,NONE,,,,,,,-,7.15,7.05,4.81,,Additional clouds are not shown. Pinpoints are not shown.,"Cloud, Feather, Crystal",17/04/2024 12:00:00 AM,0.00,,True,None,10700.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6492066442,,INDIA,0.00000,False,,1.014,,A
HTJSA04-4A,CMB,G,VS1,GIA,6491098610,,1.51000,3720.00000,-60.00000,INDIA,6.62x6.34x4.25,67.00,60.00,0.00,0.00,0.00,0.00,VTN to THK,Very Thin,0.00,Faceted,None,None,EX,EX,NONE,,,,,,,-,6.62,6.34,4.25,,,Feather,17/04/2024 12:00:00 AM,0.00,,True,None,9300.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6491098610,,INDIA,0.00000,False,,1.044,,A
HTJSA4-2-1A,CMB,I,SI2,GIA,2498386993,,1.50000,1776.00000,-63.00000,INDIA,6.95x5.97x4.19,70.20,66.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Faceted,None,None,EX,Very Good,FAINT,,,,,,,-,6.95,5.97,4.19,,"Additional clouds, pinpoints and internal graining are not shown.","Feather, Crystal, Cloud, Needle",21/05/2024 12:00:00 AM,0.00,,True,None,4800.00000,0.00,,,,No,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2498386993,,INDIA,0.00000,False,,1.164,,A
